LEMMA,DEFINITION,EXAMPLE,POS
thinly,in a widely distributed manner,thinly overgrown mountainside,r
reproductive,producing new life or offspring,the reproductive or generative organs,s
placid,not easily irritated,not everyone shared his placid temperament,s
telling,disclosing unintentionally,a telling smile,s
fine-toothed,having fine teeth set close together,a fine-toothed comb,s
commercial,of the kind or quality used in commerce; average or inferior,commercial oxalic acid,s
lightweight,weighing relatively little compared with another item or object of similar use,a lightweight fabric,s
damascene,of or relating to or characteristic of Damascus or its people,damascene city gates,a
post,an upright consisting of a piece of timber or metal fixed firmly in an upright position,he set a row of posts in the ground and strung barbwire between them,n
change,the action of changing something,his change on abortion cost him the election,n
venomed,full of malice or hate,venomed remarks,s
unconventional,not conforming to accepted rules or standards,her unconventional dress and hair style,a
so,in truth (often tends to intensify),he did so do it!,r
consideration,information that should be kept in mind when making a decision,another consideration is the time it would take,n
lexical,of or relating to words,lexical decision task,a
apart,placed or kept separate and distinct as for a purpose,quality sets it apart,r
consecutive,in a consecutive manner,we numbered the papers consecutively,r
fan,make (an emotion) fiercer,fan hatred,v
concoction,the invention of a scheme or story to suit some purpose,his testimony was a concoction,n
renovation,the state of being restored to its former good condition,the inn was a renovation of a Colonial house,n
boy,a youthful male person,the baby was a boy,n
vegetative,relating to involuntary bodily functions,vegetative functions such as digestion or growth or circulation,s
inordinate,beyond normal limits,a book of inordinate length,s
influential,having or exercising influence or power,influential leadership for peace,a
raunchy,earthy and sexually explicit,a raunchy novel,s
reference,a remark that calls attention to something or someone,the speaker made several references to his wife,n
pointed,direct and obvious in meaning or reference; often unpleasant,another pointed look in their direction,s
intact,undamaged in any way,the vase remained intact despit rough handling,s
lavish,very generous,the critics were lavish in their praise,s
suitable,meant or adapted for an occasion or use,a tractor suitable (or fit) for heavy duty,s
plumb,exactly,fell plumb in the middle of the puddle,r
gloatingly,in a gloating manner,he spoke gloatingly about people he had cheated out of their money,r
pug-nosed,having a blunt nose,a pug-nosed boy with freckles,s
derivation,the source or origin from which something derives (i.e. comes or issues),he prefers shoes of Italian derivation,n
pillar,anything that approximates the shape of a column or tower,a thin pillar of smoke betrayed their campsite,n
serenely,in a peacefully serene manner,"I had the feeling that he was waiting, too--serenely patient",r
sulphuric,of or relating to or containing sulfur,sulphuric esters,a
black-tie,moderately formal; requiring a dinner jacket,a black-tie dinner,s
middle,time between the beginning and the end of a temporal period,rain during the middle of April,n
underhand,with hand brought forward and up from below shoulder level,an underhand stroke,a
susurrant,making a low continuous indistinct sound,susurrant voices,s
tantrum,a display of bad temper,she threw a tantrum,n
flourish,a showy gesture,she entered with a great flourish,n
unfeeling,devoid of feeling or sensation,unfeeling trees,s
warmhearted,marked by warmth of feeling like kindness and sympathy and generosity,gave a warmhearted welcome to the stranger,a
slenderly,to a meager degree or in a meager manner,the area is slenderly endowed with natural resources,r
unsuspected,not suspected or believed likely,unsuspected difficulties arose,a
other,not the same one or ones already mentioned or implied,any other person would tell the truth,a
inconsiderately,without consideration; in an inconsiderate manner,"inconsiderately, he asked to be invited for dinner",r
follow-through,the act of carrying a stroke to its natural completion,squash can be dangerous if your opponent has a long follow-through,n
foreign,relating to or originating in or characteristic of another place or part of the world,on business in a foreign city,a
agglomerator,a device that causes material to gather into rounded balls,a sonic agglomerator,n
integrity,moral soundness,they admired his scrupulous professional integrity,n
unfavorable,not favorable,made an unfavorable impression,s
endlessly,all the time; seemingly without stopping,her nagging went on endlessly,r
unrefined,(used of persons and their behavior) not refined; uncouth,how can a refined girl be drawn to such an unrefined man?,a
indefinite,not decided or not known,were indefinite about their plans,s
chemic,relating to or used in chemistry,chemical balance,a
thunderstruck,as if struck dumb with astonishment and surprise,was thunderstruck by the news of his promotion,s
accommodating,obliging; willing to do favors,made a special effort to be accommodating,s
midi,used of women's clothing having a hemline at mid-calf,wore her dresses midi length,a
vertical,upright in position or posture,a column still vertical amid the ruins,a
autumnal,characteristic of late maturity verging on decline,a serene autumnal mood,s
oblique,slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled,the oblique rays of the winter sun,a
